Category,Nationality,FTA - 2001,FTA - 2002,FTA - 2003,FTA - 2004,FTA - 2005,FTA - 2006,FTA - 2007,FTA - 2008,FTA - 2009,FTA - 2010,FTA - 2011,FTA - 2012,FTA - 2013,FTA - 2014,FTA - 2015,FTA - 2016,FTA - 2017,FTA - 2018,FTA - 2019,FTA - 2020,FTA - 2021,FTA - 2022,FTA - 2023
North America,Canada,"88,600.00","93,598.00","107,671.00","135,884.00","157,643.00","176,567.00","208,214.00","222,364.00","224,069.00","242,372.00","259,017.00","256,021.00","255,222.00","268,485.00","281,306.00","317,239.00","335,439.00","351,040.00","34,232.03","8,581.50","4,760.54","20,169.65","28,939.07"
North America,U.S.A.,"329,147.00","348,182.00","410,803.00","526,120.00","611,165.00","696,739.00","799,062.00","804,933.00","827,140.00","931,292.00","980,688.00","1,039,947.00","1,085,309.00","1,118,983.00","1,213,624.00","1,296,939.00",,,,,,,
North America,Others,,,,,,,,,,,,,,,,,,,,,,,
North America,Total,"417,747.00","441,780.00","518,474.00","662,004.00","768,808.00","873,306.00","1,007,276.00","1,027,297.00","1,051,209.00","1,173,664.00","1,239,705.00","1,295,968.00","1,340,531.00","1,387,468.00","1,494,930.00","1,614,178.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Central And South America,Argentina,"2,906.00","1,359.00","1,805.00","2,799.00","3,313.00","4,493.00","4,992.00","5,087.00","6,011.00","7,626.00","9,391.00","9,831.00","10,325.00","9,731.00","9,351.00","12,308.00","14,875.00","16,345.00","1,593.90",399.57,221.66,939.13,"1,347.45"
Central And South America,Brazil,"3,819.00","3,622.00","4,528.00","7,397.00","7,005.00","9,148.00","10,788.00","11,530.00","13,964.00","15,219.00","17,268.00","18,440.00","18,551.00","19,563.00","20,610.00","21,289.00","24,453.00","26,579.00","2,591.88",649.75,360.44,"1,527.15","2,191.12"
Central And South America,Mexico,"3,473.00","3,105.00","3,563.00","4,570.00","5,398.00","6,502.00","8,299.00","9,272.00","8,185.00","10,458.00","10,876.00","11,254.00","13,074.00","13,978.00","14,049.00","15,689.00","18,114.00","19,909.00","1,941.45",486.69,269.99,"1,143.91","1,641.26"
Central And South America,Others,"11,727.00","9,586.00","11,758.00","13,399.00","19,870.00","18,602.00","18,240.00","17,616.00","18,444.00","29,425.00","23,453.00","24,174.00","26,486.00","26,654.00","26,821.00","28,946.00",,,,,,,
Central And South America,Total,"21,925.00","17,672.00","21,654.00","28,165.00","35,586.00","38,745.00","42,319.00","43,505.00","46,604.00","62,728.00","60,988.00","63,699.00","68,436.00","69,926.00","70,831.00","78,232.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Western Europe,Austria,"17,787.00","13,801.00","16,903.00","21,093.00","27,187.00","28,045.00","26,692.00","25,900.00","27,930.00","32,620.00","36,483.00","38,585.00","36,465.00","34,360.00","33,670.00","33,089.00","31,832.00","33,200.00","3,237.53",811.60,450.23,"1,907.57","2,736.94"
Western Europe,Belgium,"18,851.00","13,945.00","17,309.00","24,007.00","25,596.00","29,156.00","34,207.00","36,277.00","34,759.00","37,709.00","40,478.00","42,604.00","38,091.00","37,441.00","36,684.00","37,960.00","41,902.00","44,086.00","4,299.09","1,077.72",597.86,"2,533.04","3,634.37"
Western Europe,Denmark,"14,531.00","10,230.00","11,327.00","15,805.00","20,170.00","21,592.00","28,347.00","34,253.00","30,857.00","35,541.00","34,683.00","33,084.00","30,842.00","26,775.00","24,073.00","24,717.00","26,761.00","28,195.00","2,749.46",689.25,382.36,"1,620.00","2,324.34"
Western Europe,Finland,"8,186.00","7,673.00","8,001.00","12,525.00","16,258.00","22,860.00","34,364.00","29,223.00","24,874.00","24,089.00","23,730.00","22,416.00","21,212.00","18,765.00","18,129.00","18,371.00","20,384.00","21,239.00","2,071.14",519.21,288.03,"1,220.33","1,750.90"
Western Europe,France,"102,434.00","78,194.00","97,654.00","131,824.00","152,258.00","175,345.00","204,827.00","207,802.00","196,462.00","225,232.00","231,423.00","240,674.00","248,379.00","246,101.00","230,854.00","238,707.00","249,620.00","261,653.00","25,515.37","6,396.35","3,548.34","15,033.76","21,570.17"
Western Europe,Germany,"80,011.00","64,891.00","76,868.00","116,679.00","120,243.00","156,808.00","184,195.00","204,344.00","191,616.00","227,720.00","240,235.00","254,783.00","252,003.00","239,106.00","248,314.00","265,928.00","269,380.00","274,087.00","26,727.88","6,700.31","3,716.96","15,748.18","22,595.21"
Western Europe,Greece,"3,996.00","3,207.00","3,455.00","4,468.00","4,793.00","5,146.00","6,455.00","6,672.00","6,664.00","7,441.00","7,253.00","7,493.00","7,983.00","8,300.00","8,087.00","9,048.00",,,,,,,
Western Europe,Ireland,"6,136.00","5,793.00","7,083.00","8,996.00","10,052.00","14,936.00","18,376.00","18,924.00","19,223.00","20,329.00","22,089.00","24,546.00","27,174.00","28,978.00","32,973.00","36,440.00","37,993.00","39,276.00","3,830.04",960.14,532.63,"2,256.68","3,237.84"
Western Europe,Italy,"41,351.00","37,136.00","46,908.00","65,561.00","67,642.00","79,978.00","93,540.00","85,766.00","77,873.00","94,100.00","100,889.00","98,743.00","93,951.00","91,589.00","88,091.00","95,417.00","111,915.00","126,931.00","12,377.81","3,102.95","1,721.34","7,293.06","10,463.95"
Western Europe,Netherland,"42,368.00","31,669.00","40,565.00","51,211.00","52,755.00","58,611.00","67,429.00","71,605.00","64,580.00","70,756.00","75,153.00","74,800.00","69,547.00","67,747.00","66,181.00","71,840.00",,,,,,,
Western Europe,Norway,"7,667.00","7,475.00","8,400.00","10,631.00","11,194.00","14,216.00","19,484.00","22,369.00","22,092.00","22,229.00","24,578.00","23,569.00","21,462.00","19,690.00","19,757.00","20,148.00","20,882.00","22,631.00","2,206.89",553.24,306.90,"1,300.31","1,865.66"
Western Europe,Portugal,"7,028.00","7,262.00","8,158.00","10,648.00","11,457.00","13,108.00","15,756.00","15,415.00","17,184.00","21,038.00","24,061.00","24,670.00","29,612.00","36,156.00","44,616.00","54,439.00","66,378.00","74,492.00","7,264.17","1,821.03","1,010.20","4,280.08","6,140.98"
Western Europe,Spain,"23,073.00","19,567.00","30,551.00","42,895.00","45,247.00","53,520.00","63,357.00","62,535.00","59,047.00","72,591.00","71,405.00","67,044.00","62,079.00","66,463.00","65,694.00","76,342.00","81,442.00","84,356.00","8,226.06","2,062.16","1,143.97","4,846.83","6,954.15"
Western Europe,Sweden,"14,446.00","15,330.00","18,098.00","26,154.00","28,799.00","36,013.00","47,090.00","58,961.00","43,327.00","45,028.00","48,690.00","51,058.00","48,826.00","44,948.00","42,626.00","43,689.00","45,851.00","46,743.00","4,558.19","1,142.68",633.89,"2,685.71","3,853.40"
Western Europe,Switzerland,"25,308.00","21,606.00","24,463.00","28,260.00","34,311.00","37,446.00","41,172.00","42,107.00","38,290.00","43,134.00","46,332.00","48,388.00","48,821.00","45,773.00","46,151.00","48,123.00","49,607.00","49,322.00","4,809.69","1,205.72",668.87,"2,833.89","4,066.01"
Western Europe,U.K.,"405,472.00","387,846.00","430,917.00","555,907.00","651,083.00","734,240.00","796,191.00","776,530.00","769,251.00","759,494.00","798,249.00","788,170.00","809,444.00","838,860.00","867,601.00","941,883.00",,,,,,,
Western Europe,Others,"1,328.00","1,158.00","1,306.00","1,633.00","3,074.00","6,251.00","4,601.00","10,842.00","10,013.00","11,291.00","12,964.00","12,439.00","9,975.00","9,528.00","6,702.00","6,380.00",,,,,,,
Western Europe,Total,"819,973.00","726,783.00","847,966.00","1,128,297.00","1,282,119.00","1,487,271.00","1,686,083.00","1,709,525.00","1,634,042.00","1,750,342.00","1,838,695.00","1,853,066.00","1,855,866.00","1,860,580.00","1,880,203.00","2,022,521.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Eastern Europe,Czechoslovakia,"3,197.00","2,561.00","3,466.00","4,114.00","4,783.00","5,760.00","7,764.00","8,549.00","8,328.00","9,918.00","11,256.00","11,129.00","10,121.00","9,878.00","11,441.00","12,932.00",,,,,,,
Eastern Europe,Hungary,"1,939.00","1,557.00","1,997.00","3,527.00","3,704.00","4,262.00","5,073.00","5,263.00","4,980.00","6,022.00","6,900.00","6,507.00","6,614.00","6,867.00","7,036.00","7,961.00",,,,,,,
Eastern Europe,Poland,"5,181.00","4,468.00","6,336.00","8,445.00","10,983.00","14,808.00","20,166.00","23,517.00","19,656.00","25,424.00","28,499.00","25,030.00","23,785.00","25,205.00","26,499.00","25,706.00","28,674.00","31,555.00","3,077.12",771.39,427.93,"1,813.05","2,601.33"
Eastern Europe,CIS,"25,032.00","28,304.00","38,947.00","61,816.00","75,863.00","87,433.00","109,769.00","140,341.00","135,854.00","170,112.00","209,720.00","252,405.00","346,298.00","360,896.00","254,217.00","322,967.00",,,,,,,
Eastern Europe,Others,"3,514.00","3,738.00","4,506.00","5,153.00","6,077.00","7,928.00","7,946.00","10,607.00","11,565.00","12,603.00","18,223.00","17,615.00","18,265.00","19,432.00","31,858.00","36,420.00",,,,,,,
